Alphabet cardinality, Epsilon percentage, Automaton's size (#states), Automaton's transitions percentage, Automaton's max distance, Automaton's safe-zone distance, SC min, SC avg, SC max, ESC min, ESC avg, ESC max
5, 0.000000, 1000, 0.000000, 10, 60, 102, 104.000000, 107, 7, 11.100000, 13
5, 0.300000, 1000, 0.000000, 10, 60, 103, 108.300000, 121, 8, 11.900000, 14
5, 0.600000, 1000, 0.000000, 10, 60, 103, 112.700000, 156, 8, 13.300000, 22
5, 0.800000, 1000, 0.000000, 10, 60, 103, 112.200000, 124, 11, 13.300000, 17
5, 1.000000, 1000, 0.000000, 10, 60, 103, 108.500000, 124, 11, 11.800000, 15
5, 0.000000, 1000, 0.050000, 10, 60, 104, 109.300000, 116, 10, 12.000000, 14
5, 0.300000, 1000, 0.050000, 10, 60, 103, 112.000000, 141, 8, 11.900000, 16
5, 0.600000, 1000, 0.050000, 10, 60, 103, 105.000000, 109, 9, 11.300000, 12
5, 0.800000, 1000, 0.050000, 10, 60, 103, 105.900000, 113, 8, 11.300000, 12
5, 1.000000, 1000, 0.050000, 10, 60, 102, 108.600000, 125, 8, 12.500000, 18
5, 0.000000, 1000, 0.100000, 10, 60, 102, 110.700000, 122, 8, 12.300000, 14
5, 0.300000, 1000, 0.100000, 10, 60, 103, 114.900000, 141, 8, 12.100000, 14
5, 0.600000, 1000, 0.100000, 10, 60, 109, 116.400000, 129, 9, 13.300000, 16
5, 0.800000, 1000, 0.100000, 10, 60, 104, 116.500000, 160, 8, 12.600000, 17
5, 1.000000, 1000, 0.100000, 10, 60, 103, 119.100000, 134, 11, 13.400000, 16
5, 0.000000, 1000, 0.200000, 10, 60, 117, 150.900000, 190, 11, 17.600000, 23
5, 0.300000, 1000, 0.200000, 10, 60, 102, 109.800000, 122, 8, 12.300000, 16
5, 0.600000, 1000, 0.200000, 10, 60, 102, 106.900000, 119, 8, 11.500000, 13
5, 0.800000, 1000, 0.200000, 10, 60, 104, 131.400000, 182, 11, 14.300000, 21
5, 1.000000, 1000, 0.200000, 10, 60, 102, 109.200000, 116, 8, 11.600000, 13
5, 0.000000, 1000, 0.000000, 50, 60, 102, 107.300000, 113, 7, 11.100000, 13
5, 0.300000, 1000, 0.000000, 50, 60, 102, 116.300000, 136, 10, 12.600000, 20
5, 0.600000, 1000, 0.000000, 50, 60, 101, 104.300000, 109, 7, 10.900000, 12
5, 0.800000, 1000, 0.000000, 50, 60, 102, 109.400000, 114, 9, 12.000000, 14
5, 1.000000, 1000, 0.000000, 50, 60, 102, 113.500000, 159, 8, 12.000000, 16
5, 0.000000, 1000, 0.050000, 50, 60, 102, 102.300000, 104, 7, 10.600000, 11
5, 0.300000, 1000, 0.050000, 50, 60, 104, 108.400000, 112, 8, 11.800000, 16
5, 0.600000, 1000, 0.050000, 50, 60, 103, 108.900000, 115, 8, 11.600000, 13
5, 0.800000, 1000, 0.050000, 50, 60, 101, 103.600000, 110, 8, 10.800000, 12
5, 1.000000, 1000, 0.050000, 50, 60, 101, 105.800000, 121, 8, 11.000000, 12
5, 0.000000, 1000, 0.100000, 50, 60, 105, 109.500000, 111, 8, 11.600000, 13
5, 0.300000, 1000, 0.100000, 50, 60, 102, 102.300000, 103, 8, 10.800000, 12
